"pairId:INTEGER","amzn.id:INTEGER","bnn.id:INTEGER","amzn.ISBN_13:TEXT","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication_date:TEXT","bnn.Pages:INTEGER","label:INTEGER"
"54","201","123","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455520091","A Love to Call Her Own","Marilyn Pappano","6.4","Grand Central Publishing","08/26/2014","400","0"
"60","219","350","9780451469663","Only Enchanting: A Survivors' Club Novel","Mary Balogh","5.53","Signet","10/28/2014","400","9780451468178","Rasputin's Shadow","Raymond Khoury","9.99","Signet","10/07/2014","528","0"
"61","219","1912","9780451469663","Only Enchanting: A Survivors' Club Novel","Mary Balogh","5.53","Signet","10/28/2014","400","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","7.99","Signet","10/07/2014","336","0"
"73","254","2013","9781451698855","Doctor Sleep","Stephen King","13.6","Gallery Books","06/10/2014","560","9781476766669","Rusty Nailed (Cocktail Series #2)","Alice Clayton","11.07","Gallery Books","06/24/2014","320","0"
"75","258","551","9781455520640","The Longest Ride","Nicholas Sparks","13.5","Grand Central Publishing","05/06/2014","416","9781455582907","Still Life with Crows (Special Agent Pendergast Series #4)","Douglas Preston","7.3","Grand Central Publishing","05/27/2014","640","0"
"79","269","2069","9781451626650","Catch-22: 50th Anniversary Edition","Joseph Heller","10.52","Simon & Schuster","04/05/2011","544","9781416596585","In the Plex: How Google Thinks, Works, and Shapes Our Lives","Steven Levy","0.0","Simon & Schuster","04/12/2011","432","0"
"81","270","1743","9780316376112","Winter Street","Elin Hilderbrand","22.5","Little, Brown and Company","10/14/2014","256","9780316074292","The Luminaries","Eleanor Catton","11.7","Little, Brown and Company","10/07/2014","864","0"
"93","358","1750","9781607067986","The Walking Dead Book 9","Robert Kirkman","24.53","Image Comics","09/17/2013","336","9781607067986","The Walking Dead, Book Nine","Robert Kirkman","25.02","Image Comics","09/17/2013","336","1"
"94","362","2034","9781476733951","Wool","Hugh Howey","11.22","Simon & Schuster","03/12/2013","528","9781476733951","Wool","Hugh Howey","11.75","Simon & Schuster","03/12/2013","508","1"
"95","363","1067","9780756408992","Closer to Home: Book One of Herald Spy (The Herald Spy)","Mercedes Lackey","16.41","DAW Hardcover","10/07/2014","368","9780756408992","Closer to Home: Book One of Herald Spy","Mercedes Lackey","16.73","DAW Hardcover","10/07/2014","368","1"
"96","363","1646","9780756408992","Closer to Home: Book One of Herald Spy (The Herald Spy)","Mercedes Lackey","16.41","DAW Hardcover","10/07/2014","368","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.59","DAW Hardcover","10/28/2014","176","0"
"100","397","1912","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","6.0","Signet","10/07/2014","336","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","7.99","Signet","10/07/2014","336","1"
"102","401","1885","9780316246651","Ancillary Sword (Imperial Radch)","Ann Leckie","14.4","Orbit","10/07/2014","400","9780316246651","Ancillary Sword","Ann Leckie","14.32","Orbit","10/07/2014","400","1"
"104","415","732","9780316230070","So We Read On: How The Great Gatsby Came to Be and Why It Endures","Maureen Corrigan","23.4","Little, Brown and Company","09/09/2014","352","9780316211048","Burn (Michael Bennett Series #7)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","0"
"110","435","1789","9780544442788","Beowulf: A Translation and Commentary","Christopher Tolkien","17.71","Houghton Mifflin Harcourt","05/22/2014","448","9780544442788","Beowulf: A Translation and Commentary","J. R. R. Tolkien","18.43","Houghton Mifflin Harcourt","05/22/2014","448","1"
"111","441","3034","9780316405348","Invisible","James Patterson","16.8","Little, Brown and Company","06/23/2014","432","9780316405348","Invisible","James Patterson","16.8","Little, Brown and Company","06/23/2014","432","1"
"112","442","373","9780316033978","To Rise Again at a Decent Hour: A Novel","Joshua Ferris","15.6","Little, Brown and Company","05/13/2014","352","9780316242905","The Three: A Novel","Sarah Lotz","19.5","Little, Brown and Company","05/20/2014","480","0"
"116","486","2564","9780425251171","Archangel's Shadows (Guild Hunter)","Nalini Singh","6.0","Jove","10/28/2014","384","9780425251171","Archangel's Shadows (Guild Hunter Series #7)","Nalini Singh","7.99","Jove","10/28/2014","384","1"
"118","521","1558","9780312427290","The Red Tent: A Novel","Anita Diamant","10.27","Picador","08/21/2007","352","9780312427290","Red Tent (10th Anniversary Edition)","Anita Diamant","10.49","Picador","08/21/2007","352","1"
"130","574","3100","9781455515813","Cross My Heart (Alex Cross)","James Patterson","14.4","Grand Central Publishing","09/30/2014","448","9781455527717","It Happened at Christmas","Debbie Mason","5.1","Grand Central Publishing","09/30/2014","384","0"
"134","629","1918","9781250029911","Son of No One (Dark-Hunter Novels)","Sherrilyn Kenyon","16.65","St. Martin's Press","09/02/2014","432","9781250020055","The Perfect Witness","Iris Johansen","20.51","St. Martin's Press","09/30/2014","352","0"
"136","629","2711","9781250029911","Son of No One (Dark-Hunter Novels)","Sherrilyn Kenyon","16.65","St. Martin's Press","09/02/2014","432","9781250046710","Duck the Halls (Meg Langslow Series #16)","Donna Andrews","7.99","St. Martin's Press","09/30/2014","336","0"
"137","635","1573","9781250052001","Full Measure: A Novel","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","1"
"141","653","1233","9780989760713","The Wallcreeper","Nell Zink","13.29","Dorothy, a publishing project","10/01/2014","200","9780989760713","The Wallcreeper","Nell Zink","13.29","Dorothy, a publishing project","10/01/2014","200","1"
"147","665","2245","9781250045942","A Quilt for Christmas","Sandra Dallas","14.06","St. Martin's Press","10/14/2014","256","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","0"
"161","732","3141","9781455519149","Egghead: Or, You Can't Survive on Ideas Alone","Bo Burnham","22.0","Grand Central Publishing","10/01/2013","240","9780446571777","Private: #1 Suspect","James Patterson","7.99","Grand Central Publishing","10/29/2013","416","0"
"163","739","1817","9781476755410","Bittersweet: A Novel","Colleen McCullough","19.71","Simon & Schuster","08/19/2014","384","9781476749785","One Kick (Kick Lannigan Series #1)","Chelsea Cain","16.63","Simon & Schuster","08/19/2014","320","0"
"164","773","229","9781476753188","Ugly Love: A Novel","Colleen Hoover","11.22","Atria Books","08/05/2014","336","9781476702995","The House We Grew Up In","Lisa Jewell","16.56","Atria Books","08/12/2014","400","0"
"165","773","1110","9781476753188","Ugly Love: A Novel","Colleen Hoover","11.22","Atria Books","08/05/2014","336","9781476748047","Addicted: Every Woman Needs an Escape","Zane","9.67","Atria Books","08/26/2014","336","0"
"166","773","1584","9781476753188","Ugly Love: A Novel","Colleen Hoover","11.22","Atria Books","08/05/2014","336","9781476749235","Windigo Island (Cork O'Connor Series #14)","William Kent Krueger","16.75","Atria Books","08/19/2014","352","0"
"168","774","229","9781476749235","Windigo Island: A Novel (Cork O'Connor Mystery Series)","William Kent Krueger","16.75","Atria Books","08/19/2014","352","9781476702995","The House We Grew Up In","Lisa Jewell","16.56","Atria Books","08/12/2014","400","0"
"169","774","1110","9781476749235","Windigo Island: A Novel (Cork O'Connor Mystery Series)","William Kent Krueger","16.75","Atria Books","08/19/2014","352","9781476748047","Addicted: Every Woman Needs an Escape","Zane","9.67","Atria Books","08/26/2014","336","0"
"175","783","1361","9781455525775","The Lost Island: A Gideon Crew Novel (Gideon Crew series)","Douglas Preston","24.3","Grand Central Publishing","08/05/2014","368","9781455529780","Private Down Under","James Patterson","11.84","Grand Central Publishing","08/26/2014","384","0"
"177","798","229","9781476703398","Paw and Order: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series)","Spencer Quinn","18.14","Atria Books","08/05/2014","320","9781476702995","The House We Grew Up In","Lisa Jewell","16.56","Atria Books","08/12/2014","400","0"
"178","798","1110","9781476703398","Paw and Order: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series)","Spencer Quinn","18.14","Atria Books","08/05/2014","320","9781476748047","Addicted: Every Woman Needs an Escape","Zane","9.67","Atria Books","08/26/2014","336","0"
"182","818","1470","9781566893688","A Girl Is a Half-formed Thing","Eimear McBride","15.18","Coffee House Press","09/09/2014","227","9781566893688","A Girl Is a Half-formed Thing","Eimear McBride","15.63","Coffee House Press","09/09/2014","227","1"
"189","830","1417","9780316368629","Spoiled Brats: Stories","Simon Rich","22.5","Little, Brown and Company","10/14/2014","224","9780316376112","Winter Street","Elin Hilderbrand","16.25","Little, Brown and Company","10/14/2014","256","0"
"194","836","3182","9781455575992","The Gods of Guilt (A Lincoln Lawyer Novel)","Michael Connelly","15.0","Grand Central Publishing","05/06/2014","416","9781455573073","The End of Always: A Novel","Randi Davenport","17.5","Grand Central Publishing","05/06/2014","336","0"
"204","900","3091","9781476749068","I've Got You Under My Skin: A Novel","Mary Higgins Clark","18.43","Simon & Schuster","04/01/2014","320","9781451628302","A Step of Faith (Walk Series #4)","Richard Paul Evans","11.22","Simon & Schuster","04/15/2014","320","0"
"214","918","1887","9781455586301","Darling Beast (Maiden Lane)","Elizabeth Hoyt","7.2","Grand Central Publishing","10/14/2014","352","9780446556798","The Gods of Guilt (Mickey Haller Series #5)","Michael Connelly","7.0","Grand Central Publishing","10/28/2014","464","0"
"216","957","176","9781451617481","The Dovekeepers: A Novel","Alice Hoffman","9.28","Scribner","04/03/2012","528","9781416535461","The Ripple Effect: The Fate of Freshwater in the Twenty-First Century","Alex Prud'homme","13.39","Scribner","04/10/2012","435","0"
"221","970","1063","9781493625284","Frankenstein","Mary Wollstonecraft Shelley","7.59","CreateSpace Independent Publishing Platform","10/30/2013","138","9781493582488","A Shade Of Vampire 5: A Blaze Of Sun","Bella Forrest","10.95","CreateSpace Independent Publishing Platform","10/25/2013","304","0"
"222","980","161","9781250049377","Landline","Rainbow Rowell","15.8","St. Martin's Press","07/08/2014","320","9781250023865","Why Lords Lose Their Hearts","Manda Collins","7.99","St. Martin's Press","07/29/2014","320","0"
"226","982","1576","9781416516934","Wolves of the Calla (The Dark Tower, Book 5)","Stephen King","8.99","Pocket Books","01/24/2006","960","9781416516934","The Dark Tower V: Wolves of the Calla","Stephen King","9.99","Pocket Books","01/24/2006","960","1"
"235","1043","2466","9780743499316","Zane's The Other Side of the Pillow: A Novel","Zane","15.96","Atria Books","08/05/2014","288","9781476765365","Pulse (Collide Series #2)","Gail McHugh","9.67","Atria Books","08/12/2014","432","0"
"240","1091","2115","9781455582341","How Google Works","Eric Schmidt","17.99","Grand Central Publishing","09/23/2014","304","9781455520633","The Longest Ride","Nicholas Sparks","6.8","Grand Central Publishing","09/30/2014","496","0"
"243","1091","3100","9781455582341","How Google Works","Eric Schmidt","17.99","Grand Central Publishing","09/23/2014","304","9781455527717","It Happened at Christmas","Debbie Mason","5.1","Grand Central Publishing","09/30/2014","384","0"
"244","1103","322","9781118531648","JavaScript and JQuery: Interactive Front-End Web Development","Jon Duckett","26.67","Wiley","06/30/2014","640","9781118862155","Autodesk Revit Architecture 2015: No Experience Required: Autodesk Official Press","Eric Wing","37.77","Wiley","06/09/2014","1008","0"
"245","1103","2170","9781118531648","JavaScript and JQuery: Interactive Front-End Web Development","Jon Duckett","26.67","Wiley","06/30/2014","640","9781118707814","Social Media Design For Dummies","Janine Warner","21.71","Wiley","06/16/2014","352","0"
"251","1105","1001","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9781118093849","iPhone 4S Portable Genius","Paul McFedries","17.35","Wiley","11/29/2011","352","0"
"252","1105","2131","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9780470945018","YouTube and Video Marketing: An Hour a Day","Greg Jarboe","18.73","Wiley","11/01/2011","504","0"
"265","1189","1853","9781118661468","Data Smart: Using Data Science to Transform Information into Insight","John W. Foreman","29.68","Wiley","11/04/2013","432","9781118677766","MacBook Pro Portable Genius","Galen Gruman","20.56","Wiley","11/11/2013","416","0"
"266","1189","2680","9781118661468","Data Smart: Using Data Science to Transform Information into Insight","John W. Foreman","29.68","Wiley","11/04/2013","432","9781118556832","Mastering Microsoft Exchange Server 2013","David Elfassy","38.26","Wiley","11/18/2013","816","0"
"269","1198","284","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9781118329580","Windows For Tablets For Dummies","Andy Rathbone","15.6","Wiley","04/01/2013","312","0"
"272","1198","1658","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9781118554210","Raspberry Pi For Dummies","Sean McManus","15.24","Wiley","04/15/2013","432","0"
"274","1198","3025","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9781118213704","PHP, MySQL, JavaScript & HTML5 All-in-One For Dummies","Steve Suehring","26.87","Wiley","04/01/2013","720","0"
"275","1198","3164","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9781118517192","Macs For Dummies","Edward C. Baig","16.68","Wiley","04/01/2013","456","0"
"277","1210","527","9781118490358","Access 2013 Bible","Michael Alexander","32.06","Wiley","04/29/2013","1296","9781118543191","Android Tablets For Dummies","Dan Gookin","18.49","Wiley","04/29/2013","320","0"
"278","1210","1468","9781118490358","Access 2013 Bible","Michael Alexander","32.06","Wiley","04/29/2013","1296","9780470751848","Radio Propagation Measurement and Channel Modelling","Sana Salous","102.72","Wiley","04/22/2013","422","0"
"283","1220","36","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118541906","Microsoft Exchange Server 2013: Design, Deploy and Deliver an Enterprise Messaging Solution","Nathan Winters","37.4","Wiley","07/29/2013","408","0"
"284","1220","155","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118575024","AutoCAD Civil 3D 2014 Essentials: Autodesk Official Press","Eric Chappell","36.47","Wiley","07/01/2013","416","0"
"286","1220","166","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118575048","Mastering AutoCAD 2014 and AutoCAD LT 2014: Autodesk Official Press","George Omura","36.44","Wiley","07/01/2013","1248","0"
"287","1220","188","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118575109","AutoCAD 2014 and AutoCAD LT 2014: No Experience Required: Autodesk Official Press","Donnie Gladfelter","25.24","Wiley","07/29/2013","1104","0"
"289","1220","671","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118568118","Advanced Aircraft Design: Conceptual Design, Technology and Optimization of Subsonic Civil Airplanes","Egbert Torenbeek","102.96","Wiley","07/15/2013","436","0"
"291","1220","1909","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118554807","Blog Design For Dummies","Melissa Culbertson","19.57","Wiley","07/15/2013","352","0"
"293","1220","2945","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/22/2013","384","0"
"297","1229","158","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9780470686133","Adaptive Processing of Brain Signals","Saeid Sanei","99.4","Wiley","07/15/2013","468","0"
"299","1229","188","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118575109","AutoCAD 2014 and AutoCAD LT 2014: No Experience Required: Autodesk Official Press","Donnie Gladfelter","25.24","Wiley","07/29/2013","1104","0"
"301","1229","671","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118568118","Advanced Aircraft Design: Conceptual Design, Technology and Optimization of Subsonic Civil Airplanes","Egbert Torenbeek","102.96","Wiley","07/15/2013","436","0"
"302","1229","993","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118607787","Starting an Online Business For Dummies","Greg Holden","20.09","Wiley","07/10/2013","456","0"
"306","1229","2984","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118639566","Photoshop CC Digital Classroom","Jennifer Smith","34.54","Wiley","07/15/2013","448","0"
"307","1232","691","9781430265290","Pro ASP.NET MVC 5 (Expert's Voice in ASP.Net)","Adam Freeman","37.31","Apress","12/20/2013","832","9781430257400","Rethinking the Internet of Things: A Scalable Approach to Connecting Everything","Francis daCosta","28.9","Apress","12/29/2013","192","0"
"310","1249","36","9781118530801","The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling","Ralph Kimball","46.98","Wiley","07/01/2013","600","9781118541906","Microsoft Exchange Server 2013: Design, Deploy and Deliver an Enterprise Messaging Solution","Nathan Winters","37.4","Wiley","07/29/2013","408","0"
"316","1249","671","9781118530801","The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling","Ralph Kimball","46.98","Wiley","07/01/2013","600","9781118568118","Advanced Aircraft Design: Conceptual Design, Technology and Optimization of Subsonic Civil Airplanes","Egbert Torenbeek","102.96","Wiley","07/15/2013","436","0"
"322","1250","2061","9780321811981","Presentation Zen: Simple Ideas on Presentation Design and Delivery (2nd Edition) (Voices That Matter)","Garr Reynolds","20.62","New Riders","12/18/2011","312","9780321811981","Presentation Zen: Simple Ideas on Presentation Design and Delivery","Garr Reynolds","0.0","New Riders","12/22/2011","296","1"
"329","1288","2105","9781118851012","Data Fluency: Empowering Your Organization with Effective Data Communication","Zach Gemignani","28.07","Wiley","10/20/2014","288","9781118932162","iPhone For Dummies","Edward C. Baig","18.23","Wiley","10/13/2014","416","0"
"331","1290","981","9781118612040","Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software","Dan Murray","29.74","Wiley","11/11/2013","528","9781118691816","OS X Mavericks All-in-One For Dummies","Mark L. Chambers","25.42","Wiley","11/11/2013","792","0"
"333","1290","1844","9781118612040","Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software","Dan Murray","29.74","Wiley","11/11/2013","528","9781118751251","Adventures In Raspberry Pi","Carrie Anne Philbin","16.15","Wiley","11/25/2013","256","0"
"334","1290","1853","9781118612040","Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software","Dan Murray","29.74","Wiley","11/11/2013","528","9781118677766","MacBook Pro Portable Genius","Galen Gruman","20.56","Wiley","11/11/2013","416","0"
"337","1295","824","9780470475355","Excel 2010 Power Programming with VBA","John Walkenbach","26.35","Wiley","05/10/2010","1080","9780470532188","Access 2010 All-in-One For Dummies","Alison Barrows","26.18","Wiley","05/03/2010","792","0"
"339","1295","1593","9780470475355","Excel 2010 Power Programming with VBA","John Walkenbach","26.35","Wiley","05/10/2010","1080","9780470501320","Project 2010 For Dummies","Nancy C. Muir","15.1","Wiley","05/10/2010","432","0"
"341","1295","3036","9780470475355","Excel 2010 Power Programming with VBA","John Walkenbach","26.35","Wiley","05/10/2010","1080","9780470487716","Outlook 2010 For Dummies","Bill Dyszel","14.86","Wiley","05/03/2010","384","0"
"345","1321","74","9781118766576","About Face: The Essentials of Interaction Design","Alan Cooper","33.31","Wiley","09/02/2014","720","9781118968017","Home Recording For Musicians For Dummies","Jeff Strong","19.88","Wiley","09/29/2014","384","0"
"352","1343","943","9780321934406","The Adobe Photoshop Lightroom 5 Book: The Complete Guide for Photographers","Martin Evening","38.72","Adobe Press","07/10/2013","736","9780321929600","Adobe After Effects CC Classroom in a Book","Adobe Creative Team","49.35","Adobe Press","07/22/2013","387","0"
"356","1364","719","9780321929037","Product Design for the Web: Principles of Designing and Releasing Web Products","Randy J. Hunt","22.77","New Riders","11/08/2013","224","9780321929037","Product Design for the Web: Principles of Designing and Releasing Web Products","Randy J. Hunt","22.61","New Riders","11/12/2013","224","1"
"359","1369","910","9781118896655","Inbound Marketing, Revised and Updated: Attract, Engage, and Delight Customers Online","Brian Halligan","12.59","Wiley","09/02/2014","224","9781118503218","HSPA+ Evolution to Release 12: Performance and Optimization","Harri Holma (Editor)","102.35","Wiley","09/15/2014","464","0"
"361","1369","1415","9781118896655","Inbound Marketing, Revised and Updated: Attract, Engage, and Delight Customers Online","Brian Halligan","12.59","Wiley","09/02/2014","224","9781118766576","About Face: The Essentials of Interaction Design","Alan Cooper","33.31","Wiley","09/02/2014","720","0"
"367","1413","2493","9780133927054","Adobe Premiere Pro CC Classroom in a Book (2014 release)","Maxim Jago","37.7","Adobe Press","09/13/2014","504","9780133927054","Adobe Premiere Pro CC Classroom in a Book (2014 release)","Maxim Jago","37.7","Adobe Press","09/17/2014","504","1"
"369","1431","686","9780321822499","Adobe InDesign CS6 Classroom in a Book","Adobe Creative Team","29.86","Adobe Press","06/14/2012","432","9780321822444","Adobe Fireworks CS6 Classroom in a Book","Adobe Creative Team","34.69","Adobe Press","06/28/2012","352","0"
"375","1433","2895","9781118582305","Cool Infographics: Effective Communication with Data Visualization and Design","Randy Krum","24.73","Wiley","10/28/2013","368","9781118737637","Beginning Programming with C For Dummies","Dan Gookin","21.19","Wiley","10/28/2013","456","0"
"376","1437","1968","9780735669116","Microsoft Project 2013 Step by Step","Timothy Johnson","20.18","Microsoft Press","03/25/2013","576","9780735669093","Microsoft Outlook 2013 Step By Step","Joan Lambert","19.94","Microsoft Press","03/27/2013","578","0"
"380","1438","2611","9781118026472","The Web Application Hacker's Handbook: Finding and Exploiting Security Flaws","Dafydd Stuttard","30.27","Wiley","09/27/2011","912","9781118065129","Digital Landscape and Nature Photography For Dummies","Doug Sahlin","21.1","Wiley","09/06/2011","368","0"
"386","1448","1146","9781782162148","Machine Learning with R","Brett Lantz","49.49","Packt Publishing","10/25/2013","396","9781849688925","Microsoft Dynamics GP 2013 Reporting, Second Edition","David Duncan","57.82","Packt Publishing","10/10/2013","386","0"
"395","1494","275","9780321988232","Travel and Street Photography: From Snapshots to Great Shots","John Batdorff","18.12","Peachpit Press","10/17/2014","264","9780133987034","Illustrator CC: Visual QuickStart Guide (2014 release)","Elaine Weinmann","28.65","Peachpit Press","10/03/2014","480","0"
