"pairId:INTEGER","amzn.id:INTEGER","bnn.id:INTEGER","amzn.ISBN_13:TEXT","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication_date:TEXT","bnn.Pages:INTEGER"
"27","107","1232","9781476756660","We Are Not Ourselves: A Novel","Matthew Thomas","16.8","Simon & Schuster","08/19/2014","640","9781476756660","We Are Not Ourselves","Matthew Thomas","17.22","Simon & Schuster","08/19/2014","640"
"31","123","1009","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","9780525427247","First Impressions: A Novel of Old Books, Unexpected Love, and Jane Austen","Charlie Lovett","19.45","Viking Adult","10/16/2014","320"
"33","123","1751","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352"
"37","143","229","9781476748047","Zane's Addicted: A Novel","Zane","9.58","Atria Books","08/26/2014","336","9781476702995","The House We Grew Up In","Lisa Jewell","16.56","Atria Books","08/12/2014","400"
"38","143","1110","9781476748047","Zane's Addicted: A Novel","Zane","9.58","Atria Books","08/26/2014","336","9781476748047","Addicted: Every Woman Needs an Escape","Zane","9.67","Atria Books","08/26/2014","336"
"52","197","2329","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336"
"54","201","123","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455520091","A Love to Call Her Own","Marilyn Pappano","6.4","Grand Central Publishing","08/26/2014","400"
"62","219","2527","9780451469663","Only Enchanting: A Survivors' Club Novel","Mary Balogh","5.53","Signet","10/28/2014","400","9780451416315","One Potion in the Grave: A Magic Potion Mystery","Heather Blake","7.99","Signet","10/07/2014","336"
"64","222","1573","9781250010650","The Christmas Light","Donna VanLiere","13.48","St. Martin's Press","10/14/2014","224","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288"
"66","222","2329","9781250010650","The Christmas Light","Donna VanLiere","13.48","St. Martin's Press","10/14/2014","224","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336"
"70","246","519","9781455529780","Private Down Under","James Patterson","11.84","Grand Central Publishing","08/26/2014","384","9781455529285","Slow Satisfaction","Cecilia Tan","7.0","Grand Central Publishing","08/26/2014","336"
"73","254","2013","9781451698855","Doctor Sleep","Stephen King","13.6","Gallery Books","06/10/2014","560","9781476766669","Rusty Nailed (Cocktail Series #2)","Alice Clayton","11.07","Gallery Books","06/24/2014","320"
"75","258","551","9781455520640","The Longest Ride","Nicholas Sparks","13.5","Grand Central Publishing","05/06/2014","416","9781455582907","Still Life with Crows (Special Agent Pendergast Series #4)","Douglas Preston","7.3","Grand Central Publishing","05/27/2014","640"
"76","258","739","9781455520640","The Longest Ride","Nicholas Sparks","13.5","Grand Central Publishing","05/06/2014","416","9781455529858","Honeymoon","James Patterson","7.3","Grand Central Publishing","05/27/2014","416"
"78","258","3182","9781455520640","The Longest Ride","Nicholas Sparks","13.5","Grand Central Publishing","05/06/2014","416","9781455573073","The End of Always: A Novel","Randi Davenport","17.5","Grand Central Publishing","05/06/2014","336"
"80","270","1417","9780316376112","Winter Street","Elin Hilderbrand","22.5","Little, Brown and Company","10/14/2014","256","9780316376112","Winter Street","Elin Hilderbrand","16.25","Little, Brown and Company","10/14/2014","256"
"88","293","2575","9781250020055","The Perfect Witness: A Novel","Iris Johansen","19.01","St. Martin's Press","09/30/2014","352","9781250054531","Accused (Rosato & Associates Series #12)","Lisa Scottoline","12.28","St. Martin's Press","09/09/2014","384"
"91","309","1871","9780316246620","Ancillary Justice (Imperial Radch)","Ann Leckie","15.0","Orbit","10/01/2013","416","9780316246620","Ancillary Justice","Ann Leckie","11.99","Orbit","10/01/2013","416"
"92","325","1685","9781250027702","Betrayed: A Rosato & DiNunzio Novel","Lisa Scottoline","17.7","St. Martin's Press","11/25/2014","352","9781250027702","Betrayed (Rosato & Associates Series #13)","Lisa Scottoline","17.87","St. Martin's Press","11/25/2014","352"
"94","362","2034","9781476733951","Wool","Hugh Howey","11.22","Simon & Schuster","03/12/2013","528","9781476733951","Wool","Hugh Howey","11.75","Simon & Schuster","03/12/2013","508"
"95","363","1067","9780756408992","Closer to Home: Book One of Herald Spy (The Herald Spy)","Mercedes Lackey","16.41","DAW Hardcover","10/07/2014","368","9780756408992","Closer to Home: Book One of Herald Spy","Mercedes Lackey","16.73","DAW Hardcover","10/07/2014","368"
"99","397","350","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","6.0","Signet","10/07/2014","336","9780451468178","Rasputin's Shadow","Raymond Khoury","9.99","Signet","10/07/2014","528"
"102","401","1885","9780316246651","Ancillary Sword (Imperial Radch)","Ann Leckie","14.4","Orbit","10/07/2014","400","9780316246651","Ancillary Sword","Ann Leckie","14.32","Orbit","10/07/2014","400"
"103","408","2199","9780312429980","Wolf Hall","Hilary Mantel","9.07","Picador","08/31/2010","604","9780312429980","Wolf Hall","Hilary Mantel","9.16","Picador","08/31/2010","640"
"104","415","732","9780316230070","So We Read On: How The Great Gatsby Came to Be and Why It Endures","Maureen Corrigan","23.4","Little, Brown and Company","09/09/2014","352","9780316211048","Burn (Michael Bennett Series #7)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432"
"109","431","2850","9780316211291","Unlucky 13 (Women's Murder Club)","James Patterson","28.0","Little, Brown and Company","05/05/2014","416","9780316230841","We Need New Names","NoViolet Bulawayo","11.99","Little, Brown and Company","05/20/2014","320"
"110","435","1789","9780544442788","Beowulf: A Translation and Commentary","Christopher Tolkien","17.71","Houghton Mifflin Harcourt","05/22/2014","448","9780544442788","Beowulf: A Translation and Commentary","J. R. R. Tolkien","18.43","Houghton Mifflin Harcourt","05/22/2014","448"
"111","441","3034","9780316405348","Invisible","James Patterson","16.8","Little, Brown and Company","06/23/2014","432","9780316405348","Invisible","James Patterson","16.8","Little, Brown and Company","06/23/2014","432"
"113","442","1810","9780316033978","To Rise Again at a Decent Hour: A Novel","Joshua Ferris","15.6","Little, Brown and Company","05/13/2014","352","9780316211277","Unlucky 13","James Patterson","22.5","Little, Brown and Company","05/05/2014","480"
"121","554","2314","9781455599738","Uganda Be Kidding Me","Chelsea Handler","27.0","Grand Central Publishing","03/04/2014","272","9781455599271","Fire Inside: A Chaos Novel","Kristen Ashley","6.35","Grand Central Publishing","03/25/2014","432"
"126","574","1636","9781455515813","Cross My Heart (Alex Cross)","James Patterson","14.4","Grand Central Publishing","09/30/2014","448","9781455556656","Moonlight Raider","Amanda Scott","6.8","Grand Central Publishing","09/30/2014","400"
"129","574","2948","9781455515813","Cross My Heart (Alex Cross)","James Patterson","14.4","Grand Central Publishing","09/30/2014","448","9781455551859","Ring in the Holidays","Katie Lane","5.1","Grand Central Publishing","09/30/2014","368"
"130","574","3100","9781455515813","Cross My Heart (Alex Cross)","James Patterson","14.4","Grand Central Publishing","09/30/2014","448","9781455527717","It Happened at Christmas","Debbie Mason","5.1","Grand Central Publishing","09/30/2014","384"
"141","653","1233","9780989760713","The Wallcreeper","Nell Zink","13.29","Dorothy, a publishing project","10/01/2014","200","9780989760713","The Wallcreeper","Nell Zink","13.29","Dorothy, a publishing project","10/01/2014","200"
"145","656","1231","9781416586296","Half Broke Horses: A True-Life Novel","Jeannette Walls","9.69","Scribner","09/07/2010","272","9781416586296","Half Broke Horses: A True-Life Novel","Jeannette Walls","9.78","Scribner","09/07/2010","288"
"146","665","1573","9781250045942","A Quilt for Christmas","Sandra Dallas","14.06","St. Martin's Press","10/14/2014","256","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288"
"147","665","2245","9781250045942","A Quilt for Christmas","Sandra Dallas","14.06","St. Martin's Press","10/14/2014","256","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352"
"149","665","2731","9781250045942","A Quilt for Christmas","Sandra Dallas","14.06","St. Martin's Press","10/14/2014","256","9781250054951","Anything He Wants & Castaway","Sara Fawkes","11.11","St. Martin's Press","10/21/2014","672"
"155","714","2504","9781476783598","Halo: Broken Circle","John Shirley","10.12","Gallery Books","11/04/2014","352","9781476792491","After We Collided","Anna Todd","10.25","Gallery Books","11/18/2014","688"
"159","732","472","9781455519149","Egghead: Or, You Can't Survive on Ideas Alone","Bo Burnham","22.0","Grand Central Publishing","10/01/2013","240","9781455578313","This Man","Jodi Ellen Malpas","11.99","Grand Central Publishing","10/22/2013","480"
"168","774","229","9781476749235","Windigo Island: A Novel (Cork O'Connor Mystery Series)","William Kent Krueger","16.75","Atria Books","08/19/2014","352","9781476702995","The House We Grew Up In","Lisa Jewell","16.56","Atria Books","08/12/2014","400"
"171","774","2466","9781476749235","Windigo Island: A Novel (Cork O'Connor Mystery Series)","William Kent Krueger","16.75","Atria Books","08/19/2014","352","9781476765365","Pulse (Collide Series #2)","Gail McHugh","9.67","Atria Books","08/12/2014","432"
"174","783","519","9781455525775","The Lost Island: A Gideon Crew Novel (Gideon Crew series)","Douglas Preston","24.3","Grand Central Publishing","08/05/2014","368","9781455529285","Slow Satisfaction","Cecilia Tan","7.0","Grand Central Publishing","08/26/2014","336"
"175","783","1361","9781455525775","The Lost Island: A Gideon Crew Novel (Gideon Crew series)","Douglas Preston","24.3","Grand Central Publishing","08/05/2014","368","9781455529780","Private Down Under","James Patterson","11.84","Grand Central Publishing","08/26/2014","384"
"186","827","2731","9781250048264","Bathing the Lion","Jonathan Carroll","16.43","St. Martin's Press","10/21/2014","288","9781250054951","Anything He Wants & Castaway","Sara Fawkes","11.11","St. Martin's Press","10/21/2014","672"
"189","830","1417","9780316368629","Spoiled Brats: Stories","Simon Rich","22.5","Little, Brown and Company","10/14/2014","224","9780316376112","Winter Street","Elin Hilderbrand","16.25","Little, Brown and Company","10/14/2014","256"
"190","830","1743","9780316368629","Spoiled Brats: Stories","Simon Rich","22.5","Little, Brown and Company","10/14/2014","224","9780316074292","The Luminaries","Eleanor Catton","11.7","Little, Brown and Company","10/07/2014","864"
"193","836","2786","9781455575992","The Gods of Guilt (A Lincoln Lawyer Novel)","Michael Connelly","15.0","Grand Central Publishing","05/06/2014","416","9781455575992","The Gods of Guilt (Mickey Haller Series #5)","Michael Connelly","10.49","Grand Central Publishing","05/06/2014","416"
"194","836","3182","9781455575992","The Gods of Guilt (A Lincoln Lawyer Novel)","Michael Connelly","15.0","Grand Central Publishing","05/06/2014","416","9781455573073","The End of Always: A Novel","Randi Davenport","17.5","Grand Central Publishing","05/06/2014","336"
"198","840","2315","9781586638474","Julius Caesar (No Fear Shakespeare)","SparkNotes","5.65","SparkNotes","07/03/2003","256","9781586638504","The Merchant of Venice (No Fear Shakespeare Series)","SparkNotes","5.95","SparkNotes","07/15/2003","256"
"201","864","1288","9780525427247","First Impressions: A Novel of Old Books, Unexpected Love, and Jane Austen","Charlie Lovett","18.98","Viking Adult","10/16/2014","320","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","17.19","Viking Adult","10/21/2014","192"
"203","878","3017","9781589798724","The Scarlett Letters: The Making of the Film Gone With the Wind","John Wiley Jr.","26.92","Taylor Trade Publishing","10/08/2014","536","9781630760199","Sharkman","Steve Alten","17.81","Taylor Trade Publishing","10/07/2014","272"
"205","902","789","9780670016389","Dear Daughter: A Novel","Elizabeth Little","17.04","Viking Adult","07/31/2014","384","9780525426684","The Hundred-Year House","Rebecca Makkai","18.78","Viking Adult","07/10/2014","352"
"207","906","1320","9780786891481","Deadly Heat (Nikki Heat)","Richard Castle","6.99","Kingswell","09/30/2014","416","9781401324810","Raging Heat (Nikki Heat Series #6)","Richard Castle","15.51","Kingswell","09/16/2014","304"
"214","918","1887","9781455586301","Darling Beast (Maiden Lane)","Elizabeth Hoyt","7.2","Grand Central Publishing","10/14/2014","352","9780446556798","The Gods of Guilt (Mickey Haller Series #5)","Michael Connelly","7.0","Grand Central Publishing","10/28/2014","464"
"216","957","176","9781451617481","The Dovekeepers: A Novel","Alice Hoffman","9.28","Scribner","04/03/2012","528","9781416535461","The Ripple Effect: The Fate of Freshwater in the Twenty-First Century","Alex Prud'homme","13.39","Scribner","04/10/2012","435"
"225","980","3028","9781250049377","Landline","Rainbow Rowell","15.8","St. Martin's Press","07/08/2014","320","9781250047564","Something Borrowed, Someone Dead (Agatha Raisin Series #24)","M. C. Beaton","7.99","St. Martin's Press","07/01/2014","320"
"227","990","1524","9781416521495","Song of Susannah (The Dark Tower, Book 6)","Stephen King","8.99","Pocket Books","05/23/2006","560","9781416521495","The Dark Tower VI: Song of Susannah","Stephen King","9.99","Pocket Books","05/23/2006","560"
"231","1009","1887","9781455529544","One in a Million (A Lucky Harbor novel)","Jill Shalvis","7.2","Grand Central Publishing","10/14/2014","352","9780446556798","The Gods of Guilt (Mickey Haller Series #5)","Michael Connelly","7.0","Grand Central Publishing","10/28/2014","464"
"234","1043","1584","9780743499316","Zane's The Other Side of the Pillow: A Novel","Zane","15.96","Atria Books","08/05/2014","288","9781476749235","Windigo Island (Cork O'Connor Series #14)","William Kent Krueger","16.75","Atria Books","08/19/2014","352"
"235","1043","2466","9780743499316","Zane's The Other Side of the Pillow: A Novel","Zane","15.96","Atria Books","08/05/2014","288","9781476765365","Pulse (Collide Series #2)","Gail McHugh","9.67","Atria Books","08/12/2014","432"
"236","1054","2450","9780374534158","My Struggle: Book 2: A Man in Love","Karl Ove Knausgaard","11.94","Farrar, Straus and Giroux","06/03/2014","608","9780374534158","My Struggle, Book Two: A Man in Love","Karl Ove Knausgaard","12.06","Farrar, Straus and Giroux","06/03/2014","608"
"239","1091","1636","9781455582341","How Google Works","Eric Schmidt","17.99","Grand Central Publishing","09/23/2014","304","9781455556656","Moonlight Raider","Amanda Scott","6.8","Grand Central Publishing","09/30/2014","400"
"242","1091","2948","9781455582341","How Google Works","Eric Schmidt","17.99","Grand Central Publishing","09/23/2014","304","9781455551859","Ring in the Holidays","Katie Lane","5.1","Grand Central Publishing","09/30/2014","368"
"248","1105","186","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9781119976875","Typographic Web Design: How to Think Like a Typographer in HTML and CSS","Laura Franz","28.74","Wiley","11/01/2011","336"
"251","1105","1001","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9781118093849","iPhone 4S Portable Genius","Paul McFedries","17.35","Wiley","11/29/2011","352"
"260","1166","2328","9781430264484","Pro AngularJS (Expert's Voice in Web Development)","Adam Freeman","36.27","Apress","03/25/2014","688","9781430261452","Building the Infrastructure for Cloud Security: A Solutions View","Raghuram Yeluri","37.72","Apress","03/31/2014","244"
"262","1189","981","9781118661468","Data Smart: Using Data Science to Transform Information into Insight","John W. Foreman","29.68","Wiley","11/04/2013","432","9781118691816","OS X Mavericks All-in-One For Dummies","Mark L. Chambers","25.42","Wiley","11/11/2013","792"
"264","1189","1844","9781118661468","Data Smart: Using Data Science to Transform Information into Insight","John W. Foreman","29.68","Wiley","11/04/2013","432","9781118751251","Adventures In Raspberry Pi","Carrie Anne Philbin","16.15","Wiley","11/25/2013","256"
"267","1189","2699","9781118661468","Data Smart: Using Data Science to Transform Information into Insight","John W. Foreman","29.68","Wiley","11/04/2013","432","9781118745311","Oracle 12c For Dummies","Chris Ruel","24.43","Wiley","11/18/2013","432"
"269","1198","284","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9781118329580","Windows For Tablets For Dummies","Andy Rathbone","15.6","Wiley","04/01/2013","312"
"271","1198","1468","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9780470751848","Radio Propagation Measurement and Channel Modelling","Sana Salous","102.72","Wiley","04/22/2013","422"
"277","1210","527","9781118490358","Access 2013 Bible","Michael Alexander","32.06","Wiley","04/29/2013","1296","9781118543191","Android Tablets For Dummies","Dan Gookin","18.49","Wiley","04/29/2013","320"
"283","1220","36","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118541906","Microsoft Exchange Server 2013: Design, Deploy and Deliver an Enterprise Messaging Solution","Nathan Winters","37.4","Wiley","07/29/2013","408"
"285","1220","158","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9780470686133","Adaptive Processing of Brain Signals","Saeid Sanei","99.4","Wiley","07/15/2013","468"
"290","1220","993","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118607787","Starting an Online Business For Dummies","Greg Holden","20.09","Wiley","07/10/2013","456"
"294","1220","2984","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118639566","Photoshop CC Digital Classroom","Jennifer Smith","34.54","Wiley","07/15/2013","448"
"297","1229","158","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9780470686133","Adaptive Processing of Brain Signals","Saeid Sanei","99.4","Wiley","07/15/2013","468"
"307","1232","691","9781430265290","Pro ASP.NET MVC 5 (Expert's Voice in ASP.Net)","Adam Freeman","37.31","Apress","12/20/2013","832","9781430257400","Rethinking the Internet of Things: A Scalable Approach to Connecting Everything","Francis daCosta","28.9","Apress","12/29/2013","192"
"316","1249","671","9781118530801","The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling","Ralph Kimball","46.98","Wiley","07/01/2013","600","9781118568118","Advanced Aircraft Design: Conceptual Design, Technology and Optimization of Subsonic Civil Airplanes","Egbert Torenbeek","102.96","Wiley","07/15/2013","436"
"322","1250","2061","9780321811981","Presentation Zen: Simple Ideas on Presentation Design and Delivery (2nd Edition) (Voices That Matter)","Garr Reynolds","20.62","New Riders","12/18/2011","312","9780321811981","Presentation Zen: Simple Ideas on Presentation Design and Delivery","Garr Reynolds","0.0","New Riders","12/22/2011","296"
"325","1260","943","9780321929495","Adobe Illustrator CC Classroom in a Book","Adobe Creative Team","40.98","Adobe Press","07/05/2013","480","9780321929600","Adobe After Effects CC Classroom in a Book","Adobe Creative Team","49.35","Adobe Press","07/22/2013","387"
"326","1285","1289","9781430242338","Pro C# 5.0 and the .NET 4.5 Framework (Expert's Voice in .NET)","Andrew Troelsen","38.72","Apress","08/21/2012","1560","9781430242512","Beginning ASP.NET 4.5 in C#","Matthew MacDonald","33.98","Apress","08/29/2012","922"
"327","1285","1867","9781430242338","Pro C# 5.0 and the .NET 4.5 Framework (Expert's Voice in .NET)","Andrew Troelsen","38.72","Apress","08/21/2012","1560","9781430243922","Practical 3D Printers: The Science and Art of 3D Printing","Brian Evans","23.89","Apress","08/29/2012","332"
"329","1288","2105","9781118851012","Data Fluency: Empowering Your Organization with Effective Data Communication","Zach Gemignani","28.07","Wiley","10/20/2014","288","9781118932162","iPhone For Dummies","Edward C. Baig","18.23","Wiley","10/13/2014","416"
"331","1290","981","9781118612040","Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software","Dan Murray","29.74","Wiley","11/11/2013","528","9781118691816","OS X Mavericks All-in-One For Dummies","Mark L. Chambers","25.42","Wiley","11/11/2013","792"
"336","1290","2699","9781118612040","Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software","Dan Murray","29.74","Wiley","11/11/2013","528","9781118745311","Oracle 12c For Dummies","Chris Ruel","24.43","Wiley","11/18/2013","432"
"337","1295","824","9780470475355","Excel 2010 Power Programming with VBA","John Walkenbach","26.35","Wiley","05/10/2010","1080","9780470532188","Access 2010 All-in-One For Dummies","Alison Barrows","26.18","Wiley","05/03/2010","792"
"347","1321","1299","9781118766576","About Face: The Essentials of Interaction Design","Alan Cooper","33.31","Wiley","09/02/2014","720","9781118749920","Applied Mathematics for Science and Engineering","Larry A. Glasgow","100.05","Wiley","09/15/2014","256"
"351","1343","156","9780321934406","The Adobe Photoshop Lightroom 5 Book: The Complete Guide for Photographers","Martin Evening","38.72","Adobe Press","07/10/2013","736","9780321919410","Adobe Dreamweaver CC Classroom in a Book","Adobe Creative Team","38.89","Adobe Press","07/29/2013","448"
"352","1343","943","9780321934406","The Adobe Photoshop Lightroom 5 Book: The Complete Guide for Photographers","Martin Evening","38.72","Adobe Press","07/10/2013","736","9780321929600","Adobe After Effects CC Classroom in a Book","Adobe Creative Team","49.35","Adobe Press","07/22/2013","387"
"353","1347","3087","9781285161761","Discovering Computers 2014 (Shelly Cashman)","Misty E. Vermaat","138.79","Cengage Learning","07/08/2013","616","9781285093123","Microsoft Word 2013: Illustrated Introductory","Jennifer Duffy","0.0","Cengage Learning","07/23/2013","264"
"358","1369","74","9781118896655","Inbound Marketing, Revised and Updated: Attract, Engage, and Delight Customers Online","Brian Halligan","12.59","Wiley","09/02/2014","224","9781118968017","Home Recording For Musicians For Dummies","Jeff Strong","19.88","Wiley","09/29/2014","384"
"363","1371","3152","9781285167640","New Perspectives on Microsoft Office 2013, First Course","Kathy T. Finnegan","156.42","Cengage Learning","05/15/2013","1144","9781285093284","Microsoft Access 2013: Illustrated Introductory","Lisa Friedrichsen","0.0","Cengage Learning","05/16/2013","280"
"364","1372","187","9780470526828","Data Mining for Business Intelligence: Concepts, Techniques, and Applications in Microsoft Office Excel with XLMiner","Galit Shmueli","92.26","Wiley","10/26/2010","428","9780470489604","Excel 2010 Workbook For Dummies","Greg Harvey","19.97","Wiley","10/12/2010","408"
"365","1372","594","9780470526828","Data Mining for Business Intelligence: Concepts, Techniques, and Applications in Microsoft Office Excel with XLMiner","Galit Shmueli","92.26","Wiley","10/26/2010","428","9780470746028","RFID Systems: Research Trends and Challenges","Miodrag Bolic","0.0","Wiley","10/11/2010","576"
"368","1424","1980","9780735669130","Microsoft Excel 2013 Data Analysis and Business Modeling","Wayne Winston","20.0","Microsoft Press","01/25/2014","888","9780735669130","Microsoft Excel 2013: Data Analysis and Business Modeling","Wayne Winston","30.37","Microsoft Press","01/31/2014","888"
"370","1433","1438","9781118582305","Cool Infographics: Effective Communication with Data Visualization and Design","Randy Krum","24.73","Wiley","10/28/2013","368","9781118692905","iPhone For Seniors For Dummies","Nancy C. Muir","14.86","Wiley","10/28/2013","448"
"372","1433","2143","9781118582305","Cool Infographics: Effective Communication with Data Visualization and Design","Randy Krum","24.73","Wiley","10/28/2013","368","9781118711057","Laptops For Seniors For Dummies","Nancy C. Muir","15.29","Wiley","10/14/2013","480"
"373","1433","2172","9781118582305","Cool Infographics: Effective Communication with Data Visualization and Design","Randy Krum","24.73","Wiley","10/28/2013","368","9781118227787","Guide to US Food Laws and Regulations","Patricia A. Curtis","79.48","Wiley","10/07/2013","344"
"375","1433","2895","9781118582305","Cool Infographics: Effective Communication with Data Visualization and Design","Randy Krum","24.73","Wiley","10/28/2013","368","9781118737637","Beginning Programming with C For Dummies","Dan Gookin","21.19","Wiley","10/28/2013","456"
"376","1437","1968","9780735669116","Microsoft Project 2013 Step by Step","Timothy Johnson","20.18","Microsoft Press","03/25/2013","576","9780735669093","Microsoft Outlook 2013 Step By Step","Joan Lambert","19.94","Microsoft Press","03/27/2013","578"
"379","1438","344","9781118026472","The Web Application Hacker's Handbook: Finding and Exploiting Security Flaws","Dafydd Stuttard","30.27","Wiley","09/27/2011","912","9781118100356","BlackBerry For Dummies","Robert Kao","17.33","Wiley","09/06/2011","408"
"380","1438","2611","9781118026472","The Web Application Hacker's Handbook: Finding and Exploiting Security Flaws","Dafydd Stuttard","30.27","Wiley","09/27/2011","912","9781118065129","Digital Landscape and Nature Photography For Dummies","Doug Sahlin","21.1","Wiley","09/06/2011","368"
"381","1438","2717","9781118026472","The Web Application Hacker's Handbook: Finding and Exploiting Security Flaws","Dafydd Stuttard","30.27","Wiley","09/27/2011","912","9781118106372","How: Why How We Do Anything Means Everything","Dov Seidman","17.42","Wiley","09/21/2011","384"
"385","1448","521","9781782162148","Machine Learning with R","Brett Lantz","49.49","Packt Publishing","10/25/2013","396","9781783283019","Apache Maven Dependency Management","Jonathan Lalou","33.72","Packt Publishing","10/25/2013","158"
"386","1448","1146","9781782162148","Machine Learning with R","Brett Lantz","49.49","Packt Publishing","10/25/2013","396","9781849688925","Microsoft Dynamics GP 2013 Reporting, Second Edition","David Duncan","57.82","Packt Publishing","10/10/2013","386"
