"pairId:INTEGER","amzn.id:INTEGER","bnn.id:INTEGER","amzn.ISBN_13:TEXT","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication_date:TEXT","bnn.Pages:INTEGER","label:INTEGER"
"180","798","2466","9781476703398","Paw and Order: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series)","Spencer Quinn","18.14","Atria Books","08/05/2014","320","9781476765365","Pulse (Collide Series #2)","Gail McHugh","9.67","Atria Books","8/12/2014","432","0"
"183","827","1573","9781250048264","Bathing the Lion","Jonathan Carroll","16.43","St. Martin's Press","10/21/2014","288","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/7/2014","288","0"
"184","827","2245","9781250048264","Bathing the Lion","Jonathan Carroll","16.43","St. Martin's Press","10/21/2014","288","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/7/2014","352","0"
"185","827","2329","9781250048264","Bathing the Lion","Jonathan Carroll","16.43","St. Martin's Press","10/21/2014","288","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","0"
"188","829","1063","9781492824848","Secret Surrender (The Secret Surrender Series Book Two)","Priscilla West","5.03","CreateSpace Independent Publishing Platform","10/03/2013","222","9781493582488","A Shade Of Vampire 5: A Blaze Of Sun","Bella Forrest","10.95","CreateSpace Independent Publishing Platform","10/25/2013","304","0"
"192","836","739","9781455575992","The Gods of Guilt (A Lincoln Lawyer Novel)","Michael Connelly","15.0","Grand Central Publishing","05/06/2014","416","9781455529858","Honeymoon","James Patterson","7.3","Grand Central Publishing","5/27/2014","416","0"
"195","840","769","9781586638474","Julius Caesar (No Fear Shakespeare)","SparkNotes","5.65","SparkNotes","07/03/2003","256","9781586638498","The Tempest (No Fear Shakespeare)","SparkNotes","5.95","SparkNotes","7/15/2003","224","0"
"200","864","1009","9780525427247","First Impressions: A Novel of Old Books, Unexpected Love, and Jane Austen","Charlie Lovett","18.98","Viking Adult","10/16/2014","320","9780525427247","First Impressions: A Novel of Old Books, Unexpected Love, and Jane Austen","Charlie Lovett","19.45","Viking Adult","10/16/2014","320","1"
"207","906","1320","9780786891481","Deadly Heat (Nikki Heat)","Richard Castle","6.99","Kingswell","09/30/2014","416","9781401324810","Raging Heat (Nikki Heat Series #6)","Richard Castle","15.51","Kingswell","9/16/2014","304","0"
"210","907","2114","9780316370134","Neverhome: A Novel","Laird Hunt","23.4","Little, Brown and Company","09/09/2014","256","9780316370134","Neverhome","Laird Hunt","19.99","Little, Brown and Company","9/9/2014","256","1"
"212","918","421","9781455586301","Darling Beast (Maiden Lane)","Elizabeth Hoyt","7.2","Grand Central Publishing","10/14/2014","352","9781455553617","Reunion: A Novel","Hannah Pittard","21.25","Grand Central Publishing","10/7/2014","288","0"
"214","918","1887","9781455586301","Darling Beast (Maiden Lane)","Elizabeth Hoyt","7.2","Grand Central Publishing","10/14/2014","352","9780446556798","The Gods of Guilt (Mickey Haller Series #5)","Michael Connelly","7.0","Grand Central Publishing","10/28/2014","464","0"
"217","957","712","9781451617481","The Dovekeepers: A Novel","Alice Hoffman","9.28","Scribner","04/03/2012","528","9781451617481","The Dovekeepers","Alice Hoffman","9.32","Scribner","4/3/2012","528","1"
"218","961","1693","9781455515844","Gone (Michael Bennett)","James Patterson","16.0","Grand Central Publishing","04/22/2014","416","9781455515844","Gone (Michael Bennett Series #6)","James Patterson","10.99","Grand Central Publishing","4/22/2014","416","1"
"219","961","1738","9781455515844","Gone (Michael Bennett)","James Patterson","16.0","Grand Central Publishing","04/22/2014","416","9781455515943","Private Berlin","James Patterson","7.5","Grand Central Publishing","4/29/2014","448","0"
"224","980","2919","9781250049377","Landline","Rainbow Rowell","15.8","St. Martin's Press","07/08/2014","320","9781250047274","How the Light Gets In (Armand Gamache Series #9)","Louise Penny","10.21","St. Martin's Press","7/29/2014","432","0"
"228","1006","456","9780446574754","Mythology: Timeless Tales of Gods and Heroes","Edith Hamilton","9.0","Grand Central Publishing","01/01/2011","512","9780446549998","Roses","Leila Meacham","11.99","Grand Central Publishing","1/3/2011","626","0"
"230","1009","623","9781455529544","One in a Million (A Lucky Harbor novel)","Jill Shalvis","7.2","Grand Central Publishing","10/14/2014","352","9781455529544","One in a Million (Lucky Harbor Series #12)","Jill Shalvis","6.4","Grand Central Publishing","10/14/2014","352","1"
"235","1043","2466","9780743499316","Zane's The Other Side of the Pillow: A Novel","Zane","15.96","Atria Books","08/05/2014","288","9781476765365","Pulse (Collide Series #2)","Gail McHugh","9.67","Atria Books","8/12/2014","432","0"
"237","1080","829","9781455554669","A Life Intercepted: A Novel","Charles Martin","23.4","Center Street","09/02/2014","336","9781455554669","A Life Intercepted: A Novel","Charles Martin","23.28","Center Street","9/2/2014","336","1"
"244","1103","322","9781118531648","JavaScript and JQuery: Interactive Front-End Web Development","Jon Duckett","26.67","Wiley","06/30/2014","640","9781118862155","Autodesk Revit Architecture 2015: No Experience Required: Autodesk Official Press","Eric Wing","37.77","Wiley","6/9/2014","1008","0"
"246","1103","2228","9781118531648","JavaScript and JQuery: Interactive Front-End Web Development","Jon Duckett","26.67","Wiley","06/30/2014","640","9781118822661","SketchUp 2014 For Dummies","Aidan Chopra","18.81","Wiley","6/23/2014","492","0"
"249","1105","813","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9783527409723","Laser Welding of Plastics: Materials, Processes and Industrial Applications","Rolf Klein","123.7","Wiley","11/22/2011","260","0"
"250","1105","984","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9780470942192","Teach Yourself VISUALLY iPhone 4S","Guy Hart-Davis","15.18","Wiley","11/15/2011","320","0"
"252","1105","2131","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9780470945018","YouTube and Video Marketing: An Hour a Day","Greg Jarboe","18.73","Wiley","11/1/2011","504","0"
"253","1105","2597","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9781118015940","Audel Multi-Craft Industrial Reference","Thomas B. Davis","9.33","Wiley","11/8/2011","192","0"
"254","1125","726","9781118490365","Excel 2013 Bible","John Walkenbach","28.99","Wiley","03/04/2013","1056","9781119944539","Introduction to Tribology","Bharat Bhushan","136.04","Wiley","3/25/2013","738","0"
"258","1125","3187","9781118490365","Excel 2013 Bible","John Walkenbach","28.99","Wiley","03/04/2013","1056","9781118510421","Teach Yourself VISUALLY PowerPoint 2013","William Wood","19.78","Wiley","3/18/2013","352","0"
"265","1189","1853","9781118661468","Data Smart: Using Data Science to Transform Information into Insight","John W. Foreman","29.68","Wiley","11/04/2013","432","9781118677766","MacBook Pro Portable Genius","Galen Gruman","20.56","Wiley","11/11/2013","416","0"
"268","1195","686","9780321827333","Adobe Photoshop CS6 Classroom in a Book","Adobe Creative Team","34.41","Adobe Press","06/01/2012","432","9780321822444","Adobe Fireworks CS6 Classroom in a Book","Adobe Creative Team","34.69","Adobe Press","6/28/2012","352","0"
"269","1198","284","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9781118329580","Windows For Tablets For Dummies","Andy Rathbone","15.6","Wiley","4/1/2013","312","0"
"271","1198","1468","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9780470751848","Radio Propagation Measurement and Channel Modelling","Sana Salous","102.72","Wiley","4/22/2013","422","0"
"272","1198","1658","9781118490396","Excel 2013 Power Programming with VBA","John Walkenbach","28.99","Wiley","04/01/2013","1104","9781118554210","Raspberry Pi For Dummies","Sean McManus","15.24","Wiley","4/15/2013","432","0"
"277","1210","527","9781118490358","Access 2013 Bible","Michael Alexander","32.06","Wiley","04/29/2013","1296","9781118543191","Android Tablets For Dummies","Dan Gookin","18.49","Wiley","4/29/2013","320","0"
"284","1220","155","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118575024","AutoCAD Civil 3D 2014 Essentials: Autodesk Official Press","Eric Chappell","36.47","Wiley","7/1/2013","416","0"
"287","1220","188","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118575109","AutoCAD 2014 and AutoCAD LT 2014: No Experience Required: Autodesk Official Press","Donnie Gladfelter","25.24","Wiley","7/29/2013","1104","0"
"293","1220","2945","9781118488768","The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","David Meerman Scott","13.2","Wiley","07/01/2013","464","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","7/22/2013","384","0"
"296","1229","155","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118575024","AutoCAD Civil 3D 2014 Essentials: Autodesk Official Press","Eric Chappell","36.47","Wiley","7/1/2013","416","0"
"299","1229","188","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118575109","AutoCAD 2014 and AutoCAD LT 2014: No Experience Required: Autodesk Official Press","Donnie Gladfelter","25.24","Wiley","7/29/2013","1104","0"
"301","1229","671","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118568118","Advanced Aircraft Design: Conceptual Design, Technology and Optimization of Subsonic Civil Airplanes","Egbert Torenbeek","102.96","Wiley","7/15/2013","436","0"
"303","1229","1909","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118554807","Blog Design For Dummies","Melissa Culbertson","19.57","Wiley","7/15/2013","352","0"
"304","1229","2166","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118653746","Teach Yourself VISUALLY Complete Excel","Paul McFedries","25.2","Wiley","7/22/2013","600","0"
"305","1229","2945","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","07/12/2013","384","9781118549360","Exploring Arduino: Tools and Techniques for Engineering Wizardry","Jeremy Blum","23.09","Wiley","7/22/2013","384","1"
"308","1232","1791","9781430265290","Pro ASP.NET MVC 5 (Expert's Voice in ASP.Net)","Adam Freeman","37.31","Apress","12/20/2013","832","9781430260134","Sensor Technologies: Healthcare, Wellness and Environmental Applications","Michael J. McGrath","32.11","Apress","12/17/2013","336","0"
"310","1249","36","9781118530801","The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling","Ralph Kimball","46.98","Wiley","07/01/2013","600","9781118541906","Microsoft Exchange Server 2013: Design, Deploy and Deliver an Enterprise Messaging Solution","Nathan Winters","37.4","Wiley","7/29/2013","408","0"
"312","1249","158","9781118530801","The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling","Ralph Kimball","46.98","Wiley","07/01/2013","600","9780470686133","Adaptive Processing of Brain Signals","Saeid Sanei","99.4","Wiley","7/15/2013","468","0"
"314","1249","188","9781118530801","The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling","Ralph Kimball","46.98","Wiley","07/01/2013","600","9781118575109","AutoCAD 2014 and AutoCAD LT 2014: No Experience Required: Autodesk Official Press","Donnie Gladfelter","25.24","Wiley","7/29/2013","1104","0"
"326","1285","1289","9781430242338","Pro C# 5.0 and the .NET 4.5 Framework (Expert's Voice in .NET)","Andrew Troelsen","38.72","Apress","08/21/2012","1560","9781430242512","Beginning ASP.NET 4.5 in C#","Matthew MacDonald","33.98","Apress","8/29/2012","922","0"
"332","1290","1413","9781118612040","Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software","Dan Murray","29.74","Wiley","11/11/2013","528","9781118643693","Photoshop CC Bible","Lisa DaNae Dayley","33.52","Wiley","11/4/2013","1152","0"
"340","1295","2660","9780470475355","Excel 2010 Power Programming with VBA","John Walkenbach","26.35","Wiley","05/10/2010","1080","9780470487662","Word 2010 All-in-One For Dummies","Doug Lowe","22.4","Wiley","5/24/2010","648","0"
"346","1321","910","9781118766576","About Face: The Essentials of Interaction Design","Alan Cooper","33.31","Wiley","09/02/2014","720","9781118503218","HSPA+ Evolution to Release 12: Performance and Optimization","Harri Holma (Editor)","102.35","Wiley","9/15/2014","464","0"
"347","1321","1299","9781118766576","About Face: The Essentials of Interaction Design","Alan Cooper","33.31","Wiley","09/02/2014","720","9781118749920","Applied Mathematics for Science and Engineering","Larry A. Glasgow","100.05","Wiley","9/15/2014","256","0"
"348","1321","1415","9781118766576","About Face: The Essentials of Interaction Design","Alan Cooper","33.31","Wiley","09/02/2014","720","9781118766576","About Face: The Essentials of Interaction Design","Alan Cooper","33.31","Wiley","9/2/2014","720","1"
"350","1326","245","9781118825099","The Art of Memory Forensics: Detecting Malware and Threats in Windows, Linux, and Mac Memory","Andrew Case","54.3","Wiley","07/28/2014","912","9781118919316","Teach Yourself VISUALLY Samsung Galaxy S5","Guy Hart-Davis","20.0","Wiley","7/21/2014","352","0"
"356","1364","719","9780321929037","Product Design for the Web: Principles of Designing and Releasing Web Products","Randy J. Hunt","22.77","New Riders","11/08/2013","224","9780321929037","Product Design for the Web: Principles of Designing and Releasing Web Products","Randy J. Hunt","22.61","New Riders","11/12/2013","224","1"
"357","1365","2676","9781555976859","Geek Sublime: The Beauty of Code, the Code of Beauty","Vikram Chandra","10.0","Graywolf Press","09/02/2014","272","9781555976859","Geek Sublime: The Beauty of Code, the Code of Beauty","Vikram Chandra","10.2","Graywolf Press","9/2/2014","272","1"
"359","1369","910","9781118896655","Inbound Marketing, Revised and Updated: Attract, Engage, and Delight Customers Online","Brian Halligan","12.59","Wiley","09/02/2014","224","9781118503218","HSPA+ Evolution to Release 12: Performance and Optimization","Harri Holma (Editor)","102.35","Wiley","9/15/2014","464","0"
"363","1371","3152","9781285167640","New Perspectives on Microsoft Office 2013, First Course","Kathy T. Finnegan","156.42","Cengage Learning","05/15/2013","1144","9781285093284","Microsoft Access 2013: Illustrated Introductory","Lisa Friedrichsen","0.0","Cengage Learning","5/16/2013","280","0"
"367","1413","2493","9780133927054","Adobe Premiere Pro CC Classroom in a Book (2014 release)","Maxim Jago","37.7","Adobe Press","09/13/2014","504","9780133927054","Adobe Premiere Pro CC Classroom in a Book (2014 release)","Maxim Jago","37.7","Adobe Press","9/17/2014","504","1"
"368","1424","1980","9780735669130","Microsoft Excel 2013 Data Analysis and Business Modeling","Wayne Winston","20.0","Microsoft Press","01/25/2014","888","9780735669130","Microsoft Excel 2013: Data Analysis and Business Modeling","Wayne Winston","30.37","Microsoft Press","1/31/2014","888","1"
"372","1433","2143","9781118582305","Cool Infographics: Effective Communication with Data Visualization and Design","Randy Krum","24.73","Wiley","10/28/2013","368","9781118711057","Laptops For Seniors For Dummies","Nancy C. Muir","15.29","Wiley","10/14/2013","480","0"
"374","1433","2253","9781118582305","Cool Infographics: Effective Communication with Data Visualization and Design","Randy Krum","24.73","Wiley","10/28/2013","368","9781118678565","Job Searching with Social Media For Dummies","Joshua Waldman","13.32","Wiley","10/7/2013","384","0"
"376","1437","1968","9780735669116","Microsoft Project 2013 Step by Step","Timothy Johnson","20.18","Microsoft Press","03/25/2013","576","9780735669093","Microsoft Outlook 2013 Step By Step","Joan Lambert","19.94","Microsoft Press","3/27/2013","578","0"
"384","1448","374","9781782162148","Machine Learning with R","Brett Lantz","49.49","Packt Publishing","10/25/2013","396","9781782168539","Game Development with Three.js","Isaac Sukin","28.9","Packt Publishing","10/23/2013","118","0"
